Ratings,Review
4,Mobile using very smooth and easy display and camera very good. But over all i am not using the mobile. So I can not reply another details. Specification is good.snapdragon is 695 can give more and 740 snapdragon satisfy. Over all mobile goodREAD MORE
4,Excellent product for this price but I have some call drop related problem on this phone. Also it is bulky for daily use.Battery performance with fast charging is excellent camera is also decent but videography is not upto mark also MIUI experience is good with no junk apps and less bugs.READ MORE
3,"Display is not vibrant I can see sand like pixels. Camera quality is very poor, really very very poor. MiUi lags many times for example 1. While installing app, screen blinks sometimes 2. Scroll up scroll down is not smooth like I'm using 6gb ram (+2gb virtual ram) 3. Typing sync mismatch. The biggest problem I am facing daily are mic that does not work while loud speaker on and the Proximity sensor, that stopped working after just 15 to 20days.Battery backup is ok for me as I don't p...READ MORE"
5,"The phone is great. Its a great value option for people who dont expect high end performance and gaming. Gives to decent yet powerful experience in performing the regular tasks. Camera could be better. Not an Hardware issue I guess, just the POCO team could provide with some OTA updates. Screen and speakers are a good combo. Great for multimedia consumption. In short: Good for the price. In 2022 the mid range market is full of expensive yet mediocre devices, where POCO tries to do a balancing...READ MORE"
4,"I was samsung user from last 10 years. Switched into poco for the first time. Samsung cameras has less megapixel then poco but capture the best picture, poco didn't perform well as per specifications. Samsung 5000 mh battery works for more than 1 day, poco works for only 1 Day. Rest is all ok. But not upto the mark.READ MORE"
5,Camera is disappointingRest features and feel are goodREAD MORE
5,GoodgoodREAD MORE
4,Average phone..READ MORE
4,At indoor and light area camera performance is poor but in outdoor it's marvellous. Selfie camera is not upto the mark but get better with the updates. Bettery backup is very goodREAD MORE
5,all is best highly recommend  to buy thank pocoREAD MORE
5,One of the best balance phone in the marketReally I am very happy after purchase this phoneThanks flipkart for fast deliveryREAD MORE
4,"Camera is not good , other thn that everything is nice , in this price rangeREAD MORE"
4,"Everything is good until you switch to camera.It's ridiculousAt 19,000+ price it's not fair to have such low camera performance.Don't expect much from itREAD MORE"
4,"It's good display and body ,camera also goodREAD MORE"
3,A good smartphone for everyday use but you have to compromise in camera segment. primary camera in this range was expected to be much better. lack of 4k and 60fps support is biggest downside in this range. no night mode in ultrawide and front camera  front camera was very noisy even in day light. display was good enough and bright. battery backup was superb. poco x4 is not for camera usersREAD MORE
5,Best phone in rangeREAD MORE
4,This phone is very good But the cameras need to be a little incremental. Sound quality is very good.  Battery is good and it charges very quickly.Cameras Photos does not crack when zoomed.READ MORE
5,Great value product and delivery was fast and really good.READ MORE
4,Thank u FilipkartREAD MORE
5,Dont think to much just buy it. Camera is awsmeREAD MORE
3,Poco X4 Pro 5g is a good phone But the Only thing in this phone is bad is camera. In photos there is  very nice details but it pick too much noise . I hope brand will fix this this very soon through update...READ MORE
5,Amazing displayREAD MORE
5,"Poco x4 pro battery is good, and it's display is good, and the camera is fineREAD MORE"
3,"The display and body is really good, the primary camera is not good as expected. Also network connectivity is worst, I'm not able to get even 2 signal lines for JIO and VI networks.READ MORE"
5,"Build quality is very good, and at this price it is value for your money. oneplus Nord ce lite does not stand in front of poco x4 proREAD MORE"
4,I got it today. Overall everything is good and I really satisfied with this product .READ MORE
5,"Everything is good. Camera performance can be improved, But only if the company provide timely software update.READ MORE"
3,Waste cameraREAD MORE
5,Good performance.READ MORE
5,"Amazing smartphone in this range, just bought it, no issues till now, might use for a month for better review just buy it, you won't regretREAD MORE"
5,AwesomeREAD MORE
5,Amazing.READ MORE
4,SuperREAD MORE
5,The Best MobileREAD MORE
5,Very cool mobileREAD MORE
4,GoodREAD MORE
5,NiceREAD MORE
5,Loved it.Feels more premium than poco F1 or X3 for the price.Good value for money and amoled display is top notch.good battery backup on moderate surfing/social media/videos.READ MORE
4,"I loved the look, battery performance, display, sound everything. But one negative thing is it's getting lack ignoring that everything is good. I have posted a picture which was taken in pro mode but this phone. It's simple awesome.READ MORE"
5,Nice productREAD MORE
5,Best phone under 20k.READ MORE
5,Very good performance very fast working  camera is nice very  high sensitivity  for gamingREAD MORE
3,Nyc phone I bought for my dadREAD MORE
5,Good boysREAD MORE
4,"Good phone , in budget also, But quality of camera are so terrifying. And comes with thousands of bugs. Overall performance of phone is less then expectations.READ MORE"
5,"Camera is not as great as poco x3 pro, but it is great, selfie cam is awesome. Battery is very good, and charge is super fast. All over great buyREAD MORE"
4,"Received the phone today. Thanks to Flipkart was super fast delivery. Ordered the yellow colour for my mom because it appeared classy. Inside the box, we had the phone, adaptor, case and original bill.  Well, i have two things to say. Yes, the handset actually looks good to the eyes and feels premium in hand. Battery is very good. I could see the phone charging up to 100% within 30 minutes and i used the phone throughout the day and it's still on 51%. Camera is Decent enough to make you cap...READ MORE"
3,Phone looks premium. Display could have been better. and the processor speed is decent.It is bit expensive.READ MORE
5,Camera good 4.5 ratingPerformance 5All average nyc phoneSound quality awesomeREAD MORE
5,Very nice and very good phone it is HD quality for movie is excellent. Battery power is superb And camera quality is no.1READ MORE
5,One of best phones in this rangeREAD MORE
5,NiceREAD MORE
4,GoodREAD MORE
5,The phone is very good and has a decent battery life along with nice display and performs very well.READ MORE
4,Good phoneREAD MORE
4,Rear camera is not good makes pictures warm selfie camera is good. Rest everything is outstanding.READ MORE
3,Pathetic camera. It needs alot of improvement. Vibration intensity is very less while ringing. Performance feels lagy sometimes.READ MORE
5,Value for money.  Nice Phone.READ MORE
3,"Released with less specification than expected like instead of 108MP, its with 64MP.Processor could have been on higher side instead of Snapdragon 695, it could have been 7xx, 8xx.Pros:Camera quality is still good in light, not great in dark though but fine enough.Due to 120HZ refresh rate, touch responses are pretty quick.Lookwise premium look.Feels somewhat bulky and heavy a bit.Charging is faster due to high Watt charger support, with heavy usage full charging lasts for more than a...READ MORE"
3,Camera not working good.READ MORE
5,"Great phone with emerging samoled display,  overall value for moneyREAD MORE"
3,"Under 20K nice phone, performance were good , but if you are photoholic than don't go for that bcz camera is not up to mark as given 64MP , sometimes phone were lags or battery charging time also increases ... But battery performance were good display were excellent. Battery backup also good.READ MORE"
4,"Display is very good, Battery and charging is superb, decent cameraREAD MORE"
4,Best Value Phone. Very good in battery backup and display quality is too good. Even in sunlight display shows very clear and bright. Indoor Photography is Little bit to improve but in outdoor photo is good.READ MORE
5,Update has arrived just as you set up the phone first time. After update everything is fine.READ MORE
5,I really like it nice oneREAD MORE
3,Except camera everything is fine. If your a camera person dont buy this mobileREAD MORE
3,Camera was not good like poco X2READ MORE
5,Camera is ok type but performance is nice battery is awesome and display is the best part in this phone Value for money all rounder phone i must sayREAD MORE
5,Very cool mobileREAD MORE
4,Waste of money poor camera quality..READ MORE
3,"Average Phone, not value for money, camera quality very bad, hang on issue, ui not user friendly, battery back up is goodREAD MORE"
5,Good phoneREAD MORE
5,Best mobile for this range....But camera descent...Finally ok..READ MORE
5,Sound Quality are bestREAD MORE
4,Gud.. Worth buying... Product is gud.. Flipkart delivery  need to improve.. Took long time to deliverREAD MORE
4,Good phone at this priceREAD MORE
5,GoodREAD MORE
4,I am reviewing after 15 days of usageAnd this was the best smartphone under 20000 compare to others.Pros : Good perfomanceAwesome display with 120 hz refresh rateGood battery backup 67 watts fast charging it's charge 0 to 100% under 45-50 minutesGood design & good speakersCons : Camera is average & the vibration is very lightSome bugs are there so this are the pros & consREAD MORE
3,Avarage phoneREAD MORE
3,"Camera of the phone can be much better. Apart from it battery, screen and performance is good at this price.READ MORE"
4,NiceREAD MORE
4,Osm phone but in 120hz refreshing rate it hangs sometimes and apps crash automatically.READ MORE
5,BestREAD MORE
4,Nice productREAD MORE
4,SuperREAD MORE
5,Really awsome mobile in this price rangeFully Satysfing iam happy My old mobile realme 5 pro SD 712 professorBut the poco mobile is speed than my old mobile64mp camera is very bad performance But the fixed than majer updateOver all value for moneyGood And thanks flipkartREAD MORE
5,Must buyREAD MORE
5,goodREAD MORE
5,Very very good productREAD MORE
5,Just can say if the camera become better in future by software update then its the best phone in this price Baracket.READ MORE
5,GoodREAD MORE
5,Super duper quality back and display and battery all are well advanced suuuuper duuuuperREAD MORE
3,Performance is not good as I expected from this phoneREAD MORE
5,Very happy with this mob.READ MORE
5,It is AWESOME.Just go for itREAD MORE
5,Good.READ MORE
3,GoodREAD MORE
4,Performance is goodREAD MORE
5,"Best mobile....all best , camera , performance, battery back up , charging is to fast .....READ MORE"
3,Call recording option is not good if any body want call recording option then this is not a good phone.READ MORE
3,Front camera worst forfamance.Photos shade out like VGA camera I am dispointedREAD MORE
5,"All rounder smartphone and decent performance but you cant expect that kind of camera performance of poco x3. Still great option in this price segment as 67 watt charger in the box, super amoled display., and Snapdragon 695 5g processor.READ MORE"
3,Camera is ok rest is goodREAD MORE
5,"Guys this is the best true amoled display other makers are fooling people's telling amoled but this is real amoled colors are punchy and display is bright enough just go for this multimedia, gaming purpose it's a treat... I never posted reviews in my life this is the first time.. Touch responsive is super... But one thing go for 128gb variant instead of 64 because os took 20gb remaining only 40 gb available. Thank youREAD MORE"
4,"I was samsung user from last 10 years. Switched into poco for the first time. Samsung cameras has less megapixel then poco but capture the best picture, poco didn't perform well as per specifications. Samsung 5000 mh battery works for more than 1 day, poco works for only 1 Day. Rest is all ok. But not upto the mark.READ MORE"
4,Display quality was awesomeCamera is ok feel onlySound quality - no wordsREAD MORE
3,"Camera is very bad , even a 12000 phone has a better camera tha this device  4k is not supported  for multimedia not even in  video recording thats the downgrade  Pros:-.   Battery is good  Fast charging is fine  Display is niceREAD MORE"
5,Best 5g phone in the segment.READ MORE
5,"This flipkart packaging Is nice and tere is no plastic, then the Mobile is a nice performing phone and the best for playing games in my life this is the best phone ever......READ MORE"
3,Phone is good but within a month my charger stopped workingREAD MORE
3,"Camera is not good, mainly selfie cam is rubbish, after using for 3 days I can say, the price is too high, it should have been for around 15K, I bought it in 20KREAD MORE"
5,Camera... 4starDisplay quality. ExcellentBattery excellentConnectivity excellent performance excellent value for money 4 starFast charging support 67 watt heavy charger but quality 4 starREAD MORE
